log_id,timestamp,equipment_id,fault_description,delay_hours,severity,maintenance_action,parts_replaced,technician,resolution_status,cost_inr
LOG-0009,2026-03-16 19:23:28,RM-02,Loopers not responding; strip tension lost,29.93,High,Pressure valve adjustment,Coupling spider insert,Neha Desai,Resolved,149928
LOG-0020,2026-03-17 00:51:28,RM-01,Water descaler pressure dropped to 120 bar; scale marks on strip,21.67,Medium,Sensor calibration,None,Anita Sharma,Resolved,60504
LOG-0097,2026-03-18 10:37:28,COMP-01,Inter-stage pressure ratio abnormal; valve suspected,5.66,Medium,Sensor calibration,Contactor and overload relay,Vikram Singh,In-Progress,31629
LOG-0084,2026-03-19 05:50:28,RM-01,Work roll surface cracks detected during inspection,4.96,Critical,Motor rewinding,Coupling spider insert,Sanjay Thakur,Pending,404784
LOG-0025,2026-03-19 23:12:28,CONV-01,Drive reducer oil level critically low; less than 30%,1.09,Critical,Belt alignment,Oil filter cartridge,Rajendra Gupta,Resolved,431362
LOG-0116,2026-03-20 12:58:28,COMP-01,Oil separator element saturated; oil carryover detected,2.38,Low,Electrical inspection,Deep groove ball bearing (SKF 6205),Suresh Patel,In-Progress,19596
LOG-0023,2026-03-20 18:05:28,BF-01,Slag runner blockage causing furnace pressure fluctuation,1.66,Low,Bearing replacement,Pressure relief valve,Vikram Singh,Resolved,16073
LOG-0090,2026-03-20 23:49:28,BF-01,Abnormal burden distribution; stock descent irregular,10.52,Medium,Sensor calibration,Vibration dampener pad,Kavitha Rajan,Resolved,56051
LOG-0031,2026-03-22 10:44:28,BF-01,Refractory lining erosion observed near hearth zone,26.21,High,Belt alignment,Contactor and overload relay,Harish Pandey,Pending,256467
LOG-0102,2026-03-23 18:16:28,PUMP-02,Mechanical seal leaking; coolant loss approx 5 L/hr,1.34,Low,Electrical inspection,Pressure relief valve,Arvind Yadav,Resolved,8721
LOG-0115,2026-03-25 03:26:28,COMP-01,Inlet air filter choked; differential pressure >50 mbar,1.64,Low,Sensor calibration,Temperature sensor (PT100),Suresh Patel,Resolved,24927
LOG-0067,2026-03-25 19:04:28,COMP-02,Inter-stage pressure ratio abnormal; valve suspected,46.41,High,Pressure valve adjustment,Drive belt set,Priya Nair,Resolved,139849
LOG-0075,2026-03-26 11:41:28,RM-02,"Edger motor vibration at 7.2 mm/s, threshold 5 mm/s",1.87,Low,Electrical inspection,Drive belt set,Neha Desai,Resolved,8498
LOG-0047,2026-03-26 23:18:28,COMP-01,Oil separator element saturated; oil carryover detected,57.71,High,Bearing replacement,Cooling water pump impeller,Deepak Joshi,Resolved,223356
LOG-0079,2026-03-27 08:06:28,CONV-02,Belt slipping on drive pulley; production stopped,30.27,High,Electrical inspection,Coupling spider insert,Mohan Pillai,Resolved,165155
LOG-0050,2026-03-28 04:34:28,RM-01,"Edger motor vibration at 7.2 mm/s, threshold 5 mm/s",2.62,Low,Sensor calibration,None,Neha Desai,Resolved,18949
LOG-0101,2026-03-28 08:40:28,BF-02,Tuyere blockage detected; hot blast flow reduced by 18%,11.66,Medium,Belt alignment,Deep groove ball bearing (SKF 6205),Suresh Patel,Resolved,90995
LOG-0003,2026-03-28 18:19:28,BF-01,Abnormal burden distribution; stock descent irregular,1.33,Critical,Electrical inspection,None,Vikram Singh,In-Progress,395156
LOG-0069,2026-03-28 21:52:28,BF-01,Cooling stave showing elevated outlet temperature,23.59,Medium,Sensor calibration,Mechanical seal kit,Sunita Mehta,In-Progress,56303
LOG-0091,2026-04-01 19:00:28,BF-02,Slag runner blockage causing furnace pressure fluctuation,8.41,Medium,Electrical inspection,Hydraulic hose assembly,Harish Pandey,Resolved,91734
LOG-0026,2026-04-02 14:39:28,PUMP-02,Cavitation noise observed; inlet suction pressure low,2.37,Low,Belt alignment,Hydraulic hose assembly,Mohan Pillai,Resolved,10438
LOG-0019,2026-04-02 14:41:28,COMP-02,Oil separator element saturated; oil carryover detected,2.58,Critical,Motor rewinding,Vibration dampener pad,Geeta Iyer,In-Progress,417729
LOG-0051,2026-04-02 18:09:28,COMP-01,Pressure safety valve lifted prematurely at 8.2 bar,12.5,Medium,Belt alignment,Cooling water pump impeller,Anita Sharma,In-Progress,30974
LOG-0100,2026-04-03 03:13:28,BF-01,Bell seal leakage; top gas pressure dropped to 0.8 bar,60.14,High,Bearing replacement,Drive belt set,Deepak Joshi,Resolved,262197
LOG-0039,2026-04-03 05:31:28,BF-01,Stove dome temperature exceeded 1350 deg C alarm threshold,3.19,Low,Sensor calibration,Pressure relief valve,Priya Nair,Resolved,24806
LOG-0111,2026-04-03 05:35:28,RM-01,Main motor overload trip; current reached 320 A,25.98,High,Pressure valve adjustment,Cooling water pump impeller,Suresh Patel,Pending,203002
LOG-0042,2026-04-05 06:11:28,PUMP-02,Mechanical seal leaking; coolant loss approx 5 L/hr,15.92,Medium,Sensor calibration,Mechanical seal kit,Kavitha Rajan,Resolved,72648
